Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
66 250.00 1125.61 48.566084 52.4376 1.84323 12.4125 1.59609 0.0649292 12.7768 0.316306 5.29307 0.00836794 0 9.43087 3.07291 0.088442 0.133838 0.514763 0.0102953
67 250.00 1124.61 48.125768 52.4447 1.85913 12.3625 1.6037 0.0643061 12.8283 0.3192 5.25201 0.0084445 0 9.42169 3.082 0.0891244 0.135063 0.519472 0.0103894
68 250.00 1123.61 47.692607 52.4518 1.87503 12.313 1.61138 0.0636665 12.8794 0.322099 5.21106 0.00852119 0 9.41228 3.09108 0.0898069 0.136289 0.52419 0.0104838
69 250.00 1122.61 47.263758 52.4598 1.89069 12.27 1.61871 0.062934 12.9327 0.325022 5.16941 0.00859851 0 9.39355 3.10107 0.0905008 0.137526 0.528947 0.0105789
70 250.00 1121.61 46.834994 52.4688 1.90618 12.2346 1.6256 0.0621091 12.989 0.327997 5.12605 0.00867723 0 9.3643 3.11227 0.0912148 0.138785 0.533789 0.0106758
71 250.00 1120.61 46.413826 52.4779 1.92165 12.1993 1.63246 0.0612674 13.0448 0.330973 5.08297 0.00875597 0 9.33523 3.12339 0.0919277 0.140044 0.538633 0.0107727
72 250.00 1119.61 46.000036 52.4869 1.93707 12.164 1.63929 0.0604078 13.1003 0.333951 5.04017 0.00883473 0 9.30633 3.13442 0.0926396 0.141304 0.543478 0.0108696
73 250.00 1118.61 45.593412 52.496 1.95246 12.1289 1.64609 0.0595294 13.1554 0.336929 4.99764 0.00891352 0 9.27759 3.14537 0.0933506 0.142564 0.548325 0.0109665
74 250.00 1117.61 45.193750 52.5051 1.96781 12.0939 1.65285 0.0586311 13.2101 0.339908 4.95538 0.00899235 0 9.24903 3.15623 0.0940607 0.143825 0.553174 0.0110635
75 250.00 1116.61 44.800850 52.5142 1.98312 12.0589 1.65958 0.0577116 13.2644 0.342889 4.91339 0.00907121 0 9.22063 3.16701 0.09477 0.145087 0.558025 0.0111605
76 250.00 1115.61 44.414517 52.5234 1.99839 12.024 1.66628 0.0567696 13.3184 0.345872 4.87166 0.00915011 0 9.1924 3.17772 0.0954784 0.146349 0.562879 0.0112576
77 250.00 1114.61 44.034563 52.5326 2.01361 11.9892 1.67294 0.0558035 13.372 0.348856 4.83018 0.00922906 0 9.16432 3.18835 0.0961862 0.147611 0.567736 0.0113547
78 250.00 1113.61 43.660800 52.5419 2.02879 11.9545 1.67958 0.0548116 13.4252 0.351843 4.78895 0.00930807 0 9.1364 3.1989 0.0968932 0.148875 0.572596 0.0114519
79 250.00 1112.61 43.293048 52.5513 2.04391 11.9199 1.68618 0.053792 13.478 0.354832 4.74796 0.00938714 0 9.10863 3.20938 0.0975997 0.15014 0.57746 0.0115492
80 250.00 1111.61 42.931127 52.5608 2.05898 11.8854 1.69275 0.0527427 13.5304 0.357823 4.70722 0.00946627 0 9.08101 3.2198 0.0983057 0.151405 0.582328 0.0116466
81 250.00 1110.61 42.574861 52.5703 2.07398 11.851 1.69929 0.0516614 13.5824 0.360817 4.6667 0.00954549 0 9.05354 3.23015 0.0990113 0.152672 0.587201 0.011744
82 250.00 1109.61 42.224073 52.58 2.08893 11.8166 1.7058 0.0505455 13.634 0.363815 4.62642 0.00962479 0 9.02622 3.24043 0.0997166 0.153941 0.592079 0.0118416
83 250.00 1108.61 41.878589 52.5899 2.10379 11.7824 1.71228 0.0493924 13.6851 0.366816 4.58635 0.00970419 0 8.99903 3.25066 0.100422 0.155211 0.596964 0.0119393
84 250.00 1107.61 41.538235 52.5999 2.11858 11.7482 1.71872 0.0481993 13.7359 0.369822 4.5465 0.00978371 0 8.97198 3.26083 0.101127 0.156482 0.601855 0.0120371
85 250.00 1106.61 41.202836 52.6102 2.13328 11.7142 1.72513 0.0469634 13.7862 0.372832 4.50685 0.00986335 0 8.94506 3.27096 0.101832 0.157756 0.606754 0.0121351
86 250.00 1105.61 40.872218 52.6207 2.14789 11.6803 1.73151 0.0456818 13.836 0.375848 4.4674 0.00994313 0 8.91827 3.28103 0.102537 0.159032 0.611662 0.0122332
87 250.00 1104.61 40.546204 52.6315 2.16238 11.6465 1.73786 0.0443516 13.8853 0.37887 4.42814 0.0100231 0 8.89159 3.29107 0.103243 0.160311 0.616581 0.0123316
88 250.00 1103.61 40.224619 52.6426 2.17674 11.6128 1.74417 0.0429704 13.9342 0.381899 4.38906 0.0101032 0 8.86504 3.30107 0.10395 0.161593 0.62151 0.0124302
89 250.00 1102.61 39.907284 52.654 2.19096 11.5792 1.75044 0.0415362 13.9825 0.384936 4.35014 0.0101836 0 8.83859 3.31104 0.104657 0.162878 0.626452 0.012529
90 250.00 1101.61 39.594025 52.6659 2.20503 11.5457 1.75668 0.0400476 14.0303 0.387981 4.31139 0.0102641 0 8.81224 3.32098 0.105366 0.164166 0.631408 0.0126282
91 250.00 1100.61 39.284665 52.6782 2.21891 11.5124 1.76288 0.0385038 14.0775 0.391037 4.27279 0.0103449 0 8.78599 3.33091 0.106075 0.165459 0.636381 0.0127276
92 250.00 1099.61 38.979032 52.691 2.2326 11.4791 1.76903 0.0369054 14.1241 0.394103 4.23433 0.0104261 0 8.75983 3.34083 0.106787 0.166756 0.64137 0.0128274
93 250.00 1098.61 38.676957 52.7044 2.24607 11.4461 1.77514 0.0352536 14.17 0.397181 4.19599 0.0105075 0 8.73375 3.35074 0.1075 0.168059 0.64638 0.0129276
94 250.00 1097.61 38.378276 52.7184 2.2593 11.4131 1.7812 0.0335511 14.2153 0.400272 4.15778 0.0105893 0 8.70774 3.36065 0.108216 0.169367 0.65141 0.0130282
95 250.00 1096.61 38.082829 52.7331 2.27225 11.3804 1.7872 0.0318016 14.26 0.403377 4.11968 0.0106714 0 8.68179 3.37058 0.108934 0.170681 0.656464 0.0131293
96 250.00 1095.61 37.789636 52.7486 2.28496 11.3477 1.79317 0.0300037 14.304 0.406507 4.08151 0.0107542 0 8.65587 3.38056 0.109657 0.172005 0.661557 0.0132311
97 250.00 1094.61 37.499554 52.7648 2.29733 11.3152 1.79908 0.0281712 14.3472 0.409651 4.04347 0.0108374 0 8.63 3.39056 0.110383 0.173335 0.666675 0.0133335
98 250.00 1093.61 37.212264 52.7819 2.30937 11.2828 1.80493 0.0263101 14.3896 0.412814 4.00552 0.0109211 0 8.60417 3.40058 0.111112 0.174674 0.671822 0.0134364
99 250.00 1092.61 36.927632 52.7999 2.32103 11.2506 1.81072 0.0244288 14.4313 0.415996 3.96764 0.0110053 0 8.57836 3.41064 0.111845 0.17602 0.677 0.01354
100 250.00 1091.61 36.645534 52.8188 2.3323 11.2186 1.81644 0.0225367 14.4721 0.419198 3.92983 0.01109 0 8.55257 3.42075 0.112582 0.177375 0.682211 0.0136442
101 250.00 1090.61 36.365853 52.8387 2.34315 11.1867 1.8221 0.0206439 14.5121 0.422422 3.89209 0.0111753 0 8.52679 3.4309 0.113324 0.178739 0.687458 0.0137492
102 250.00 1089.61 36.088481 52.8596 2.35355 11.155 1.82769 0.0187615 14.5512 0.425669 3.85441 0.0112612 0 8.50101 3.4411 0.11407 0.180113 0.692742 0.0138548
103 250.00 1088.61 35.813315 52.8817 2.36348 11.1234 1.8332 0.016901 14.5893 0.428939 3.81678 0.0113477 0 8.47521 3.45137 0.11482 0.181497 0.698064 0.0139613
104 250.00 1087.61 35.540259 52.9048 2.37291 11.092 1.83864 0.0150745 14.6266 0.432235 3.7792 0.0114349 0 8.4494 3.46169 0.115576 0.182891 0.703428 0.0140686
105 250.00 1086.61 35.269226 52.9292 2.38183 11.0607 1.844 0.0132947 14.6629 0.435556 3.74167 0.0115227 0 8.42357 3.47209 0.116338 0.184297 0.708833 0.0141767
106 250.00 1085.61 35.000132 52.9547 2.39019 11.0296 1.84928 0.0115742 14.6982 0.438905 3.70419 0.0116113 0 8.39769 3.48256 0.117105 0.185714 0.714283 0.0142857
107 250.00 1084.61 34.732897 52.9816 2.39799 10.9987 1.85448 0.00992602 14.7325 0.442282 3.66674 0.0117007 0 8.37178 3.49311 0.117877 0.187142 0.719779 0.0143956
