Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
72 250.00 1119.61 45.584349 52.4983 1.95248 12.1286 1.64858 0.0582985 13.1527 0.336996 4.99653 0.00891529 0 9.27744 3.14574 0.0933675 0.142593 0.548434 0.0109687
73 250.00 1118.61 45.184680 52.5074 1.96782 12.0936 1.65529 0.0574077 13.2075 0.339977 4.95426 0.00899415 0 9.24888 3.15661 0.0940779 0.143854 0.553285 0.0110657
74 250.00 1117.61 44.791772 52.5166 1.98312 12.0586 1.66197 0.0564971 13.2618 0.342959 4.91226 0.00907305 0 9.22047 3.1674 0.0947874 0.145116 0.558138 0.0111628
75 250.00 1116.61 44.405432 52.5258 1.99837 12.0238 1.66861 0.0555654 13.3158 0.345943 4.87052 0.00915198 0 9.19223 3.17811 0.0954962 0.146378 0.562994 0.0112599
76 250.00 1115.61 44.025470 52.535 2.01358 11.989 1.67522 0.054611 13.3694 0.348928 4.82903 0.00923097 0 9.16415 3.18874 0.0962042 0.147642 0.567853 0.0113571
77 250.00 1114.61 43.651701 52.5444 2.02874 11.9543 1.6818 0.0536324 13.4227 0.351916 4.78779 0.00931001 0 9.13623 3.1993 0.0969116 0.148906 0.572715 0.0114543
78 250.00 1113.61 43.283941 52.5538 2.04385 11.9197 1.68834 0.0526277 13.4755 0.354906 4.74679 0.00938911 0 9.10846 3.20979 0.0976184 0.150171 0.577581 0.0115516
79 250.00 1112.61 42.922013 52.5633 2.0589 11.8851 1.69484 0.051595 13.528 0.357899 4.70603 0.00946828 0 9.08083 3.22021 0.0983247 0.151437 0.582452 0.011649
80 250.00 1111.61 42.565738 52.5729 2.07389 11.8507 1.70131 0.0505322 13.58 0.360894 4.66551 0.00954753 0 9.05336 3.23056 0.0990306 0.152705 0.587327 0.0117465
81 250.00 1110.61 42.214942 52.5826 2.08881 11.8164 1.70775 0.0494367 13.6316 0.363893 4.62521 0.00962687 0 9.02603 3.24085 0.0997362 0.153974 0.592207 0.0118441
82 250.00 1109.61 41.869450 52.5925 2.10366 11.7822 1.71415 0.048306 13.6828 0.366896 4.58514 0.00970631 0 8.99884 3.25109 0.100442 0.155244 0.597094 0.0119419
83 250.00 1108.61 41.529087 52.6026 2.11843 11.748 1.72051 0.0471373 13.7336 0.369903 4.54528 0.00978586 0 8.97178 3.26127 0.101147 0.156517 0.601988 0.0120398
84 250.00 1107.61 41.193680 52.6129 2.13311 11.714 1.72684 0.0459279 13.784 0.372915 4.50562 0.00986554 0 8.94486 3.27139 0.101852 0.157791 0.606889 0.0121378
