Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
77 250.00 1114.61 0.382862 51.1949 0.28858 15.9739 0.663605 0.303341 7.59229 0 9.66336 0 0 12.3672 1.93926 0.0134735 0 0 0
78 250.00 1113.61 0.376859 51.1819 0.298628 15.9579 0.673563 0.30564 7.64394 0 9.63085 0 0 12.3458 1.94824 0.0136032 0 0 0
79 250.00 1112.61 0.371036 51.1671 0.309543 15.9411 0.684105 0.307944 7.69694 0 9.5983 0 0 12.3242 1.95708 0.0137324 0 0 0
80 250.00 1111.61 0.365389 51.1502 0.321451 15.9235 0.695306 0.31026 7.75145 0 9.56567 0 0 12.3025 1.96577 0.0138607 0 0 0
81 250.00 1110.61 0.359919 51.1311 0.334496 15.905 0.707249 0.312595 7.80769 0 9.53297 0 0 12.2806 1.97428 0.0139881 0 0 0
82 250.00 1109.61 0.354623 51.1093 0.348846 15.8854 0.720027 0.314955 7.86588 0 9.50016 0 0 12.2587 1.9826 0.0141144 0 0 0
83 250.00 1108.61 0.349501 51.0845 0.364688 15.8647 0.733741 0.317346 7.92628 0 9.46722 0 0 12.2365 1.99071 0.0142395 0 0 0
84 250.00 1107.61 0.344554 51.0564 0.38223 15.8427 0.748499 0.31977 7.98918 0 9.43414 0 0 12.2142 1.99858 0.014363 0 0 0
85 250.00 1106.61 0.339783 51.0244 0.4017 15.8192 0.764411 0.322223 8.05487 0 9.40086 0 0 12.1917 2.00618 0.0144849 0 0 0
86 250.00 1105.61 0.335188 50.9882 0.423335 15.7941 0.781588 0.324691 8.12368 0 9.36736 0 0 12.1689 2.0135 0.0146048 0 0 0
87 250.00 1104.61 0.330769 50.9473 0.447381 15.7673 0.800132 0.327152 8.19592 0 9.33359 0 0 12.146 2.0205 0.0147226 0 0 0
88 250.00 1103.61 0.326528 50.9014 0.474078 15.7387 0.820136 0.329567 8.27188 0 9.29951 0 0 12.1228 2.02716 0.0148381 0 0 0
89 250.00 1102.61 0.322463 50.85 0.503654 15.7081 0.841671 0.331882 8.35184 0 9.26506 0 0 12.0993 2.03347 0.014951 0 0 0
90 250.00 1101.61 0.318574 50.793 0.53631 15.6756 0.864785 0.334022 8.43602 0 9.23019 0 0 12.0757 2.0394 0.0150612 0 0 0
91 250.00 1100.61 0.314857 50.73 0.57222 15.641 0.889502 0.335898 8.5246 0 9.19485 0 0 12.0518 2.04495 0.0151686 0 0 0
92 250.00 1099.61 0.311309 50.661 0.61152 15.6043 0.91582 0.337403 8.61771 0 9.15898 0 0 12.0278 2.05011 0.0152731 0 0 0
93 250.00 1098.61 0.307927 50.586 0.654309 15.5657 0.943711 0.33842 8.7154 0 9.12255 0 0 12.0037 2.05489 0.0153747 0 0 0
94 250.00 1097.61 0.304703 50.5049 0.700652 15.5251 0.973125 0.338823 8.81769 0 9.08551 0 0 11.9794 2.05929 0.0154735 0 0 0
95 250.00 1096.61 0.302540 50.4044 0.750371 15.4696 1.0039 0.338356 8.9311 0 9.05281 0 0 11.9457 2.06142 0.0155553 0 0.0037862 0.0229524
96 250.00 1095.61 0.299504 50.3007 0.803851 15.424 1.03598 0.337066 9.03889 0 9.01067 0 0 11.9201 2.06497 0.0156478 0 0.00692937 0.0412334
97 250.00 1094.61 0.296787 50.1914 0.860829 15.3747 1.06935 0.334769 9.15288 0 8.96945 0 0 11.893 2.06787 0.0157353 0 0.0102311 0.0597605
98 250.00 1093.61 0.294203 50.0766 0.921275 15.3238 1.1039 0.331356 9.27103 0 8.92746 0 0 11.866 2.07044 0.0158202 0 0.0136978 0.0785378
99 250.00 1092.61 0.291744 49.9568 0.985102 15.2715 1.13951 0.326723 9.39317 0 8.88467 0 0 11.839 2.0727 0.0159026 0 0.0173334 0.0975559
100 250.00 1091.61 0.289401 49.8321 1.05221 15.2179 1.17609 0.32078 9.51911 0 8.84109 0 0 11.8121 2.07468 0.0159828 0 0.0211424 0.116806
101 250.00 1090.61 0.287168 49.7029 1.12246 15.1632 1.21353 0.31345 9.64865 0 8.79669 0 0 11.7853 2.07639 0.0160608 0 0.0251291 0.136279
102 250.00 1089.61 0.285037 49.5695 1.19574 15.1075 1.25174 0.304674 9.78158 0 8.75147 0 0 11.7585 2.07786 0.0161369 0 0.0292984 0.155968
103 250.00 1088.61 0.283002 49.4323 1.27191 15.0509 1.29062 0.294406 9.9177 0 8.70544 0 0 11.7319 2.07912 0.0162112 0 0.0336551 0.175864
104 250.00 1087.61 0.281055 49.2915 1.35083 14.9935 1.33011 0.28262 10.0568 0 8.65859 0 0 11.7054 2.08017 0.0162838 0 0.0382042 0.195961
105 250.00 1086.61 0.279193 49.1473 1.43239 14.9356 1.37014 0.269305 10.1988 0 8.61091 0 0 11.679 2.08104 0.016355 0 0.0429509 0.216251
106 250.00 1085.61 0.277410 48.9999 1.51651 14.8771 1.41068 0.254466 10.3435 0 8.56241 0 0 11.6527 2.08174 0.0164248 0 0.0479005 0.236726
107 250.00 1084.61 0.275705 48.8492 1.60316 14.818 1.45176 0.238124 10.4909 0 8.51308 0 0 11.6265 2.08228 0.0164932 0 0.0530578 0.257376
108 250.00 1083.61 0.274079 48.695 1.69243 14.7584 1.49347 0.220318 10.6412 0 8.46289 0 0 11.6004 2.08263 0.0165602 0 0.0584274 0.27819
109 250.00 1082.61 0.272539 48.5369 1.78455 14.6982 1.53599 0.201099 10.7946 0 8.41179 0 0 11.5743 2.08278 0.0166255 0 0.0640125 0.299147
110 250.00 1081.61 0.271101 48.3735 1.88007 14.6369 1.57968 0.180535 10.9521 0 8.35972 0 0 11.5482 2.08266 0.0166886 0 0.0698139 0.320218
111 250.00 1080.61 0.269793 48.2028 1.98005 14.5739 1.62521 0.158711 11.115 0 8.3065 0 0 11.5218 2.08215 0.0167484 0 0.0758273 0.341352
112 250.00 1079.61 0.268675 48.0205 2.08658 14.508 1.67384 0.135726 11.2861 0 8.25184 0 0 11.4951 2.081 0.0168029 0 0.0820381 0.362451
113 250.00 1078.61 0.267871 47.8184 2.20394 14.4366 1.72809 0.111704 11.4713 0 8.19513 0 0 11.4675 2.07874 0.0168478 0 0.0884077 0.383318
114 250.00 1077.61 0.267660 47.5776 2.34182 14.354 1.79352 0.0868097 11.6837 0 8.13499 0 0 11.4382 2.07427 0.0168738 0 0.0948362 0.403508
115 250.00 1076.61 0.268812 47.2482 2.52612 14.2448 1.88491 0.0612885 11.9577 0 8.06776 0 0 11.4049 2.0647 0.0168556 0 0.101034 0.421797
116 250.00 1075.61 0.274171 46.6552 2.84801 14.055 2.05405 0.0356679 12.4155 0 7.98058 0 0 11.3598 2.03984 0.0167045 0 0.105921 0.433774
117 250.00 1074.61 0.299465 44.9765 3.73572 13.532 2.54508 0.0122792 13.6299 0 7.81272 0 0 11.266 1.95191 0.0160032 0 0.104116 0.417863
118 250.00 1073.61 0.367696 41.8883 5.34709 12.5834 3.46541 0 15.8244 0 7.53548 0 0 11.1049 1.7823 0.0145861 0 0.0922435 0.361915
119 250.00 1072.61 0.396580 40.7434 5.92325 12.2493 3.82511 0 16.6551 0 7.39082 0 0 11.0213 1.72683 0.0141671 0 0.0932887 0.357391
120 250.00 1071.61 0.385113 40.8278 5.85415 12.2976 3.8198 0 16.625 0 7.3341 0 0 10.9899 1.74337 0.0143815 0 0.104167 0.389749
121 250.00 1070.61 0.374196 40.9099 5.78626 12.3444 3.81474 0 16.5956 0 7.27789 0 0 10.9585 1.75977 0.0145952 0 0.115654 0.422722
122 250.00 1069.61 0.363794 40.9897 5.71955 12.3897 3.80992 0 16.567 0 7.22218 0 0 10.927 1.77603 0.0148083 0 0.12777 0.456296
123 250.00 1068.61 0.353876 41.0673 5.65398 12.4336 3.80535 0 16.5392 0 7.16694 0 0 10.8955 1.79216 0.0150207 0 0.140533 0.490463
124 250.00 1067.61 0.344413 41.1426 5.58952 12.476 3.80101 0 16.5122 0 7.11216 0 0 10.8639 1.80815 0.0152325 0 0.153962 0.525209
125 250.00 1066.61 0.335377 41.2158 5.52614 12.5171 3.79691 0 16.4859 0 7.05782 0 0 10.8323 1.82401 0.0154435 0 0.168076 0.560524
126 250.00 1065.61 0.326743 41.2868 5.4638 12.5568 3.79303 0 16.4603 0 7.0039 0 0 10.8006 1.83973 0.0156539 0 0.182895 0.596395
127 250.00 1064.61 0.318487 41.3558 5.40247 12.5952 3.78939 0 16.4355 0 6.9504 0 0 10.7689 1.85531 0.0158635 0 0.19844 0.632812
128 250.00 1063.61 0.310589 41.4227 5.34211 12.6322 3.78596 0 16.4113 0 6.89728 0 0 10.7371 1.87076 0.0160724 0 0.21473 0.669762
129 250.00 1062.61 0.303027 41.4875 5.28271 12.668 3.78275 0 16.3879 0 6.84454 0 0 10.7052 1.88607 0.0162806 0 0.231787 0.707234
130 250.00 1061.61 0.295784 41.5504 5.22422 12.7024 3.77975 0 16.3652 0 6.79217 0 0 10.6733 1.90124 0.016488 0 0.249633 0.745215
131 250.00 1060.61 0.288840 41.6112 5.16663 12.7355 3.77697 0 16.3432 0 6.74014 0 0 10.6413 1.91628 0.0166947 0 0.268288 0.783695
132 250.00 1059.61 0.282181 41.6702 5.1099 12.7675 3.77439 0 16.3219 0 6.68845 0 0 10.6092 1.93117 0.0169006 0 0.287776 0.822661
133 250.00 1058.61 0.275791 41.7271 5.05401 12.7981 3.77202 0 16.3012 0 6.63708 0 0 10.5771 1.94593 0.0171057 0 0.308119 0.862101
134 250.00 1057.61 0.269656 41.7822 4.99894 12.8276 3.76985 0 16.2813 0 6.58603 0 0 10.5449 1.96055 0.01731 0 0.32934 0.902004
