System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
82 250.00 1109.61 42.224073 0.9916014086329114 0.992408 -494185.322244 110.610151 15.721257 59.253543 -96.622565 1130.773338 -10.366 0.000 2.683612 2.971171 2.862 n/a n/a
83 250.00 1108.61 41.878589 0.9916544171004801 0.992458 -489887.783311 109.678420 15.591931 58.741220 -95.935316 1122.859369 -10.379 0.000 2.683739 2.972180 2.867 n/a n/a
84 250.00 1107.61 41.538235 0.9917051252321488 0.992506 -485656.766798 108.760553 15.464555 58.236653 -95.258013 1115.055839 -10.392 0.000 2.683860 2.973269 2.871 n/a n/a
85 250.00 1106.61 41.202836 0.9917534068816939 0.992553 -481490.168306 107.856089 15.339066 57.739579 -94.590347 1107.358048 -10.405 0.000 2.683974 2.974448 2.875 n/a n/a
86 250.00 1105.61 40.872218 0.9917991303041928 0.992597 -477385.891290 106.964566 15.215402 57.249736 -93.932007 1099.761206 -10.418 0.000 2.684081 2.975726 2.879 n/a n/a
87 250.00 1104.61 40.546204 0.9918421646483712 0.992639 -473341.844850 106.085519 15.093500 56.766860 -93.282684 1092.260438 -10.430 0.000 2.684179 2.977113 2.883 n/a n/a
88 250.00 1103.61 40.224619 0.9918823875494773 0.992679 -469355.944187 105.218485 14.973297 56.290687 -92.642074 1084.850795 -10.443 0.000 2.684269 2.978618 2.888 n/a n/a
89 250.00 1102.61 39.907284 0.9919196928870851 0.992716 -465426.114035 104.363000 14.854733 55.820953 -92.009869 1077.527280 -10.456 0.000 2.684348 2.980247 2.892 n/a n/a
90 250.00 1101.61 39.594025 0.9919539974878373 0.992751 -461550.295015 103.518601 14.737746 55.357397 -91.385771 1070.284879 -10.469 0.000 2.684415 2.982007 2.896 n/a n/a
91 250.00 1100.61 39.284665 0.9919852457853823 0.992784 -457726.452359 102.684830 14.622275 54.899759 -90.769484 1063.118601 -10.482 0.000 2.684471 2.983901 2.901 n/a n/a
92 250.00 1099.61 38.979032 0.9920134119265850 0.992814 -453952.586114 101.861237 14.508259 54.447786 -90.160718 1056.023521 -10.495 0.000 2.684513 2.985931 2.905 n/a n/a
93 250.00 1098.61 38.676957 0.9920384993923018 0.992842 -450226.741771 101.047380 14.395641 54.001229 -89.559192 1048.994815 -10.508 0.000 2.684540 2.988097 2.910 n/a n/a
94 250.00 1097.61 38.378276 0.9920605387499319 0.992867 -446547.020347 100.242832 14.284364 53.559846 -88.964634 1042.027803 -10.521 0.000 2.684552 2.990398 2.914 n/a n/a
95 250.00 1096.61 38.082829 0.9920557347278610 0.992798 -442911.853385 99.446981 14.175320 53.123162 -92.381701 1035.843264 -10.534 0.000 2.684551 2.963246 2.919 n/a n/a
96 250.00 1095.61 37.789636 0.9920744468054918 0.992763 -439308.885341 98.657748 14.067039 52.690265 -94.950503 1029.548561 -10.547 0.000 2.684532 2.942111 2.924 n/a n/a
97 250.00 1094.61 37.499554 0.9920855807917133 0.992722 -435748.948127 97.877038 13.960003 52.262084 -97.544285 1023.308860 -10.560 0.000 2.684493 2.920914 2.929 n/a n/a
98 250.00 1093.61 37.212264 0.9920939233943782 0.992676 -432228.189411 97.104067 13.854105 51.838202 -100.164776 1017.118622 -10.573 0.000 2.684434 2.899596 2.934 n/a n/a
99 250.00 1092.61 36.927632 0.9920995868666138 0.992628 -428745.075232 96.338493 13.749300 51.418427 -102.813725 1010.974554 -10.586 0.000 2.684354 2.878162 2.939 n/a n/a
100 250.00 1091.61 36.645534 0.9921026902090099 0.992576 -425298.156540 95.579991 13.645547 51.002579 -105.492827 1004.873594 -10.599 0.000 2.684251 2.856616 2.944 n/a n/a
101 250.00 1090.61 36.365853 0.9921033558574843 0.992520 -421886.069093 94.828255 13.542804 50.590490 -108.203731 998.812907 -10.612 0.000 2.684125 2.834964 2.949 n/a n/a
102 250.00 1089.61 36.088481 0.9921017058129991 0.992462 -418507.532123 94.083001 13.441036 50.182001 -110.948033 992.789884 -10.625 0.000 2.683974 2.813209 2.954 n/a n/a
